회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
엠에스씨코리아㈜,각 부문별 신입/경력 채용,경력2년↑,초대졸↑,서울 중구 외,"수출입계약, 해상무역, 물류센터, 수출입관리, 수출입계약",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43473833?Oem_Code=C1&logpath=1&stext=&listno=1
㈜조네트워크,병원홍보 온라인 바이럴마케팅 신입/경력 정규직 채용,경력무관,초대졸↑,서울 강남구,"디지털마케팅, 옥외광고, 시장조사, SNS마케팅, 키워드광고",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43474088?Oem_Code=C1&logpath=1&stext=&listno=2
위키리크스코리아홀딩스㈜ (WiKiLeaks Korea Holdings,위키리크스한국 데스크·경력기자·마케팅 경력사원 모집,신입·경력1년↑,초대졸↑,서울 영등포구,"촬영기자, 언론사, 취재기자, 촬영기자, 방송아나운서",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43473158?Oem_Code=C1&logpath=1&stext=&listno=3
아워홈,"(주)아워홈 23년 하반기 신입 영양사, 조리사 공개채용(정규직)",신입·경력,학력무관,강원 전지역 외,"메뉴개발, 메뉴개발, 중식, 케이터링, 고객안내",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43472734?Oem_Code=C1&logpath=1&stext=&listno=4
초인산업개발㈜,"토목시공 공무담당/안전관리자 신입,경력직 채용",신입·경력1년↑,학력무관,서울 송파구 외,"시공관리, 가스점검, 안전평가, 상하수도, 시설점검",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43473016?Oem_Code=C1&logpath=1&stext=&listno=5
㈜루트비,미디어커머스 PD 경력자 모집,경력2년↑,학력무관,경기 부천시 외,"유통관리, 상품기획, 시장조사, 프로모션, 영상제작",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43472201?Oem_Code=C1&logpath=1&stext=&listno=6
㈜화신이앤엘(E&L),(주)화신이앤엘 [매쓰프로] 2023년 하반기 신입/경력사원 공개 채용,신입·경력1년↑,초대졸↑,서울 금천구 외,"고객관리, 학원운영, 복리후생, 거래처관리, 복리후생",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43469791?Oem_Code=C1&logpath=1&stext=&listno=7
㈜한유에너지,경영지원팀 임원수행기사 신입/경력 모집,신입·경력,고졸↑,서울 관악구,"수행기사, 임원비서, 석유화학, 에너지, 화학",~12/11(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43471120?Oem_Code=C1&logpath=1&stext=&listno=8
㈜아인텍코퍼레이션,"유튜브 영상촬영 및 편집, 온라인쇼핑몰 MD 직원 채용",경력,초대졸↑,경기 남양주시 외,"디지털마케팅, 재고관리, 영상제작, 키워드광고, 방송기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43459143?Oem_Code=C1&logpath=1&stext=&listno=9
GS건설㈜,GS건설 경력직 채용모집,경력8년↑,대졸↑,서울 종로구,"건설, 시장분석",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43470799?Oem_Code=C1&logpath=1&stext=&listno=10
남동상사,음료 슈퍼영업관리및 배달,경력무관,학력무관,인천 남동구 외,"고객관리, 물류센터, 거래처관리, 물류관리, 납품영업",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43470875?Oem_Code=C1&logpath=1&stext=&listno=11
㈜Korea Instrument,반도체장비 생산직/제조직 채용(정규직),경력무관,고졸↑,경기 화성시 외,"상품입출고, 생산기술, 창고관리, PCB, 신소재",~02/03(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43470748?Oem_Code=C1&logpath=1&stext=&listno=12
㈜코비마운틴,TV 홈쇼핑 방송 운영 및 시연 (신입/경력) 채용,신입·경력,초대졸↑,서울 영등포구 외,"인서트, 브랜드기획, 방송기획, 프로모션, SNS마케팅",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470404?Oem_Code=C1&logpath=1&stext=&listno=13
㈜코비마운틴,"각 부문 채용 (TV 홈쇼핑 MD (영업, 상품 기획) / 웹 디자이너)",신입·경력1년↑,초대졸↑,서울 영등포구 외,"고객관리, 방송제작, 제약영업, 고객경험관리, 옥외광고",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470407?Oem_Code=C1&logpath=1&stext=&listno=14
지피코리아,스마트워치용 악세서리 제품디자인/기구설계/마케팅 경력자 모집,경력3년↑,학력무관,경기 시흥시 외,"패키지디자인, 디지털마케팅, 금속디자인, 기구설계, 문구디자인",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470234?Oem_Code=C1&logpath=1&stext=&listno=15
㈜바운스,[실내 테마파크] (주)바운스 신입 및 경력직 채용,신입·경력,학력무관,서울 강남구 외,"레포츠, 메뉴개발, 생활체육, 고객안내, 기업홍보",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43462876?Oem_Code=C1&logpath=1&stext=&listno=16
주식회사 두호코퍼레이션,"주식회사 두호코퍼레이션 (인플루언서 매니지먼트 PD, 인플루언서 LIVE&매니저, 자사몰 PB 브랜드 MD) 신입/경력 모집",신입·경력,학력무관,서울 성동구,"방송송출·송신, 기업홍보, 디지털마케팅, 재고관리, 방송기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43448911?Oem_Code=C1&logpath=1&stext=&listno=17
㈜다지트,[연봉3600만] 정착지원금(100만) 엘리베이터 인테리어 설치/설계/판금 각 분야 모집,경력2년↑,학력무관,경기,"건축설계, 조립, 승강기, 엘리베이터, 생산관리",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43470179?Oem_Code=C1&logpath=1&stext=&listno=18
프라임스톤컨설팅,"미국대학입시, 미국유학컨설팅, 컬리지카운슬링  파트별 어드바이저 모집",신입·경력,대졸↑,서울 강남구 외,"유학컨설팅, 미국대학입시, 학원강사, 중고등학교, 교육상담",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43470124?Oem_Code=C1&logpath=1&stext=&listno=19
㈜엠에스엔지니어링,"배관,자동용접 엔지니어 보조채용 (숙소제공/초보가능/상위급여)",경력무관,학력무관,경기 화성시 외,"보수·철거, 회로설계, 샤시·창호, 가스설비, PCB",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43470114?Oem_Code=C1&logpath=1&stext=&listno=20
㈜케이드라이브,(주)케이드라이브 2023년 경영지원본부 공개채용,신입·경력1년↑,초대졸↑,서울 영등포구 외,"복리후생, 행정, 더존, 육상운송, 비품관리",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43480601?Oem_Code=C1&logpath=1&stext=&listno=421
알피니언메디칼시스템㈜,[일진그룹] 의료기기 제조 관리회계 및 경영기획 경력직 채용,경력5년↑,대졸↑,서울 강서구,"관리회계, 재무회계, 사업기획, 기업회계, 결산",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480580?Oem_Code=C1&logpath=1&stext=&listno=422
알피니언메디칼시스템㈜,[일진그룹]초음파 의료기기 인허가(QA / RA) 파트 사원-대리급,경력2년↑,대졸↑,서울 강서구,"인증심사, 품질보증, 검증, FDA, CE",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480570?Oem_Code=C1&logpath=1&stext=&listno=423
알피니언메디칼시스템㈜,[일진그룹] 초음파 의료기기 인허가(QA / RA) 과장-차장급,경력7년↑,대졸↑,서울 강서구,"인증심사, 품질보증, 검증, FDA, CE",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480563?Oem_Code=C1&logpath=1&stext=&listno=424
㈜오케이저축은행,[OK금융그룹]-정보보안팀 경력직 채용 공고,경력3년↑,대졸↑,서울 중구,"방화벽, 금융, 보안관제, 정보보안",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43480549?Oem_Code=C1&logpath=1&stext=&listno=425
㈜시스윈로보틱스,"반도체, 디스플레이 설비 소프트웨어 개발 신입/경력 모집",신입·경력,대졸↑,경기 화성시 외,"전기제어, 자동제어, 펌웨어, 시스템분석, 전기·전자",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480509?Oem_Code=C1&logpath=1&stext=&listno=426
네스트,[nest hotel] 객실팀 프론트 신입 및 경력 파트너를 모십니다.,신입·경력,초대졸↑,인천 중구 외,"관광, 호텔리어, 호텔리어, 고객응대, 하우스키핑",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480503?Oem_Code=C1&logpath=1&stext=&listno=427
㈜시스윈로보틱스,반도체설비 기구설계 경력직 모집,경력5년↑,초대졸↑,경기 화성시 외,"기구설계, 캐드원, 전기제어, 자동제어, 3D설계",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480495?Oem_Code=C1&logpath=1&stext=&listno=428
알피니언메디칼시스템㈜,[일진그룹] 의료기기 생산기술 엔지니어 사원-과장급,경력2년↑,대졸↑,서울 강서구,"생산기술, 기구설계, 기술설계, 구조해석/설계, 기술엔지니어",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480493?Oem_Code=C1&logpath=1&stext=&listno=429
㈜시스윈로보틱스,"스마트팩토리(자율주행로봇, AMR) 기술영업 신입/경력 모집",신입·경력,초대졸↑,경기 화성시,"고객관리, 거래처관리, 시스템영업, 기술영업, 장비영업",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43480482?Oem_Code=C1&logpath=1&stext=&listno=430
㈜웹젠,[웹젠/모바일(MMORPG)] 글로벌사업PM(중화권)(신입/경력),신입·경력2년↑,학력무관,경기 성남시,"게임마케팅, 게임사업PM, 게임디자인, 게임소프트웨어, 글로벌사업PM",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480450?Oem_Code=C1&logpath=1&stext=&listno=431
㈜선일다이파스,[자동차부품제조업] 소방안전관리자 신입사원 채용,신입,대졸↑,충북 진천군,"소방감리, 소방·방재, 소방·방재",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480447?Oem_Code=C1&logpath=1&stext=&listno=432
㈔ 한국전시산업진흥회,한국전시산업진흥회 2024년 상반기 신입직원 채용 공고,신입,대졸↑,서울 송파구 외,"행정, 사무행정, 자료조사, 대내외홍보, 행정",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43480426?Oem_Code=C1&logpath=1&stext=&listno=433
한영회계법인,감사부문 FAAS본부 원가관리회계 컨설턴트 경력직,경력1년↑,대졸↑,서울 영등포구,"회계법인, 관리회계, 회계감사, 원가회계, 재무회계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480350?Oem_Code=C1&logpath=1&stext=&listno=434
㈜디에이피,PCB 제조기술 신입 사원 모집,경력무관,초대졸↑,경기 안산시,"메카트로닉스, 전자회로, 제조기술, 제어·설계, 품질보증",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43480339?Oem_Code=C1&logpath=1&stext=&listno=435
㈜에이엠피엠글로벌,실력있는 웹디자이너 경력사원 모집,경력,초대졸↑,서울 금천구 외,"UI·UX기획, 홍보대행, 온라인광고, 광고디자인, 광고기획",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43480296?Oem_Code=C1&logpath=1&stext=&listno=436
한영회계법인,감사부문 FAAS본부 재무혁신 컨설턴트 경력직,경력1년↑,대졸↑,서울 영등포구,"투자, 회계법인, 자금관리, 재무분석, 원가회계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480268?Oem_Code=C1&logpath=1&stext=&listno=437
백패커,[텀블벅] 데이터 엔지니어 (산업기능요원 보충역),경력무관,학력무관,서울 서초구,"빅데이터, 데이터레이크, 데이터 엔지니어, ETL, 데이터파이프라인",~01/03(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43480184?Oem_Code=C1&logpath=1&stext=&listno=438
한영회계법인,세무부문 국내조세 서비스 경력직,경력3년↑,대졸↑,서울 영등포구,"회계법인, 세무조정, 세무기장, 세무신고",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43480163?Oem_Code=C1&logpath=1&stext=&listno=439
