회사명,키워드
 나우스넷,"자동차튜닝, 판금, A·S수리, 자동차, 자동차부품"
 남양주정상에듀,"교사, 어학원, 영어학원, 학원강사, 교육상담"
 내공,"온라인광고, 광고기획, 광고제작, 광고대행"
 뉴런 에듀,"입시학원, 입시학원, 보습학원"
 니콜밀러,"전산입력, 사이트관리, 복리후생, 자료조사, 비품관리"
 디앤디스토리,"의류, 상품입출고"
 러브헌터,"상품입출고, 정보디자인, 창고관리, 재고관리, 물류센터"
 베이비몬스터,"창고관리, 사이트관리, 문서관리, 물류센터, 재고관리"
 별내정상에듀,"일반학원, 교육상담, 입시학원, 영어학원, 학생관리"
 비비파트너스,"서치펌, 헤드헌팅, 스카우트, 인재발굴, 인재컨설팅"
 삼구엘에스,"재고관리, 물류센터, 상품입출고, 아웃소싱, 자재구매"
 성익건설,"건설, 영상제작"
 소노인터내셔널 경주지점,전기점검
 아이엘에이치알,"창고관리, 검사, 조립, 생산관리, 재고관리"
 에이원 스포츠,"상품기획, 상품입출고"
 엠티콜렉션,"시스템운영, 네트워크관리"
 오투피플,"재고관리, 프랜차이즈, 음식료, 카페, 카운터"
 위드디에스(With D.S),"수영장, 서무, 문서작성, 변호사사무실, 법무법인, 소송·민사·등기"
 잡라이프,"전산입력, 비품관리, 행정, 문서작성, 문서관리"
 제원인터내쇼날,"식품영업, 식품영업"
 제이에스텍,"전자회로, 생산관리, 회로, SMT"
 지비와이아이앤씨 ( GBYINC ),"패션, 원단, 섬유디자인, 의류, 섬유"
 지아코베,"교정, 편집, 편집디자인, 전화상담, 고객지원"
 코리아스포츠,"급여관리, 계산서발행, 민원상담, 문서작성, 전표입력"
 투어클럽,"예약·발권, 여행사무, 고객응대, 예약·발권, 접수·예약, 여행사무, 고객응대, 여행상품기획, 고객안내"
 퓨쳐아이넷,"AS, 컴퓨터, 하드웨어, 컴퓨터, AS"
 후니드,호텔
 휴먼프라임,"비서과, 행정, 비용마감, 문서작성, OA"
(MOTOR PLATZ)모터플라츠,"A·S수리, 경정비, 자동차정비, A·S센터, 카센터"
(국내 최대 복합시설),"IT STAFF, 기술지원, AML"
(사)군산시스포츠클럽,"교수설계, 기업교육, 교육행정, 영어학원, 교육진행"
(신)창동물류,"택배, 화물차운전"
(유명 호스피탈리티 기업),브랜드기획
(의)상원의료재단 부평힘찬병원,병원
(자)기아봉명대리점,"자동차, 자동차영업"
(재) 한국의학연구소,검진센터
(재)관정이종환교육재단,"행정, 비품관리, 호텔, 인사행정, 자산관리"
(재)국가관세종합정보망운영연합회,"SI, SM"
(재)여성기업종합지원센터,"재단법인, 고객지원, 고객관리, 재단법인, 청소·미화, 제약영업, 바이오, 제약영업, 의약, 제약, 웨딩, 재단법인, 이벤트, 재단법인, 메뉴개발, 메뉴개발, 음식료, 베이커리, 카페"
(재)용인공원,"매출관리, 백화점, 잡화판매, 재고관리"
(재)중앙급식관리지원센터,"재단법인, 전략기획"
(합) 에스앤제이,"청소·미화, 주차관리, 보안, 경비, 주차·출입관리"
(합)콜로세움조경,"시공관리, 조경"
21세기,"전기·전자, 정밀광학, 제조·공정, 레이저"
21세기애드,"전기설계, 전자회로, 자동제어, 기구설계, 제어"
21세기특허법률사무소,"출원, 특허사무소"
239바이오,"건강식품, 식품가공"
24시블루밍동물병원,동물병원
2tti,"헤어샵, 헤어디자인"
365 안락한 치과,"치과, 치위생사"
365국제특허법률사무소,"출원, 특허사무소"
365엠씨(mc) 서울병원,"병원, 고객관리"
"39플라워,삼구플라워,39000꽃배달","렌터카, 대여"
45스페이스(45space),"매출 분석, 거래처관리, 상품기획, 영업기획, AMD"
502커피로스터스,"메뉴개발, 메뉴개발, 식품, 카페, 판매관리"
55도,"양식, 카페, 양식당"
?한우에프앤비,식품가공
ADC 항운,"택배, 무역업"
AI 의료기기,"서치펌, 헤드헌팅"
AIA생명보험-본사,"금융상담, 보험사고, 자동차보험, 보험상담, 대출상담"
AK PLAZA,"자금, 영업기획, IT기획, 신사업기획, 회계"
ASIANCE,"SNS마케팅, 키워드광고, 웹에이전시"
ATTIQUE DESIGN,"디지털마케팅, SNS마케팅, 카페·블로그관리, 인테리어디자인, 바이럴마케팅"
Atlas Copco Korea,"장비영업, 국내영업, 신사업기획, 사업기획"
BBINNOVATION,"실내건축, 인테리어디자인, 인테리어"
BGF리테일,"생산관리, 영업기획, 상품기획, IT, 디자인"
