회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
포레스트 아웃팅스 송도점,[Forestoutings 인천송도점] 베이커리파트 사원 및 직급자 모집,경력무관,학력무관,인천 연수구 외,"재고관리, 고객안내, 샵마스터, 메뉴개발, 매출관리",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43496370?Oem_Code=C1&logpath=1&stext=&listno=1
삼지전자㈜,삼지전자 각 부분별 채용,신입·경력,고졸↑,경기 화성시,"고객관리, 관리회계, 부가세신고, 전자회로, 거래처관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43493788?Oem_Code=C1&logpath=1&stext=&listno=2
착한타이어,휠복원수리  타이어교환 직원 모집 (경력자 특별우대),신입·경력,학력무관,경기 안산시 외,"기술지원, 자동차튜닝, A·S수리, 기술지원, 유지보수",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43494169?Oem_Code=C1&logpath=1&stext=&listno=3
코스텍기술㈜,2023 비파괴검사원 품질기술직 신입 추가 채용(시흥/서산/목포/여수/거제 우대),신입,고졸↑,경기,"건축감리, 시공관리, 조립, 조선, 제어·설계",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43494252?Oem_Code=C1&logpath=1&stext=&listno=4
이노시스㈜,이노시스㈜ 2023년 4분기 채용,신입·경력,대졸↑,경기 의정부시,"기구설계, 복리후생, 연구·실험·기술, 행정, 바이오",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43491940?Oem_Code=C1&logpath=1&stext=&listno=5
매크로통상㈜,[사업확장 기흥이전] 식품유통 물류현장 사원 모집(초당역 앞),신입·경력,학력무관,경기 용인시 외,"상품입출고, 유통관리, 창고관리, 판매, 재고관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43493530?Oem_Code=C1&logpath=1&stext=&listno=6
(주)지에스네트웍스,[GS네트웍스] 24년 상반기 신입사원 채용,신입,초대졸↑,경기,"상품입출고, 창고관리, 재고관리, 물류센터, 납품",~12/19(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43489785?Oem_Code=C1&logpath=1&stext=&listno=7
㈜KSR큰사람,토목/건축 안전진단 신입 및 경력 사원 모집,신입·경력,초대졸↑,서울 송파구,"건축감리, 교량설계, 교량설계, 보수·철거, 소방감리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43493238?Oem_Code=C1&logpath=1&stext=&listno=8
㈜케이세라퓨틱스,(정규직) 온라인 마케팅 바이럴 마케팅 및 판매 책임자 채용공고,경력2년↑,초대졸↑,경기 성남시 외,"디지털마케팅, 키워드광고, 카페·블로그관리, 건강식품, 프로모션",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43492775?Oem_Code=C1&logpath=1&stext=&listno=9
타이어월드반월점,"[300이상/기숙사가능] 타이어 판매사원 (경력무관) / 타이어교체, 판매",경력무관,학력무관,경기 화성시 외,"고객관리, 재고관리, 판매, A·S수리, 기술지원",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43492895?Oem_Code=C1&logpath=1&stext=&listno=10
