기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
삼성전자,3.72,833.0,1.2,2.2,1.3,1.3,2.2,2.0
우리은행,3.64,838.0,1.1,2.2,1.2,1.3,1.7,1.6
신한은행,3.72,841.0,1.0,2.4,1.1,1.1,1.9,1.7
한국스탠다드차타드은행,3.55,843.0,1.1,2.0,1.2,1.1,2.4,1.6
한국전력공사,3.65,851.0,1.2,2.4,1.4,1.3,1.8,1.8
현대자동차,3.71,835.0,1.2,2.1,1.2,1.2,1.8,1.7
엘지전자,3.67,829.0,1.2,2.0,1.3,1.2,1.6,1.5
국민은행,3.68,847.0,1.1,2.2,1.2,1.2,2.7,1.7
포스코홀딩스,3.74,849.0,1.3,2.2,1.3,1.4,1.6,1.7
GS칼텍스,3.83,849.0,1.3,2.0,1.3,1.0,1.9,1.2
삼성생명보험,3.57,791.0,1.3,2.2,1.2,1.4,1.5,1.8
하나은행,3.6,838.0,1.1,2.1,1.2,1.2,2.3,1.7
SK네트웍스,3.7,884.0,1.0,1.9,1.2,1.2,1.3,1.5
에이치디한국조선해양,3.7,826.0,1.1,2.0,1.3,1.3,1.6,1.4
중소기업은행,3.66,826.0,1.2,2.5,1.2,1.2,2.6,2.0
엘지디스플레이,3.66,806.0,1.2,2.0,1.2,1.1,1.9,1.6
한국씨티은행,3.53,806.0,1.3,1.9,1.2,1.6,1.4,1.8
한국가스공사,3.61,816.0,1.3,2.5,1.4,1.2,1.5,1.6
기아,3.73,845.0,1.2,2.0,1.2,1.2,2.1,2.0
S-OIL,3.73,888.0,1.2,1.8,1.1,1.0,1.4,1.4
하나은행,3.74,839.0,1.1,2.3,1.3,1.4,1.7,1.8
KT,3.65,843.0,1.1,2.0,1.4,1.2,1.4,1.7
LG화학,3.78,849.0,1.2,2.1,1.2,1.3,1.6,1.8
삼성중공업,3.68,810.0,1.3,2.0,1.2,1.3,1.8,1.7
교보생명,3.59,752.0,1.2,2.1,1.2,1.6,1.8,1.9
한화오션,3.75,810.0,1.2,2.0,1.3,1.4,2.1,1.8
SK텔레콤,3.66,835.0,1.0,2.0,1.2,1.2,1.5,1.6
한화생명보험,3.58,808.0,1.1,2.0,1.1,1.4,1.5,1.8
삼성화재해상보험,3.61,825.0,1.1,2.1,1.3,1.3,1.9,1.6
롯데쇼핑,3.66,829.0,1.2,2.2,1.2,1.4,1.7,1.7
포스코인터내셔널,3.63,914.0,1.3,2.3,1.4,1.2,1.9,1.6
삼성물산,3.69,869.0,1.4,2.4,1.3,1.5,1.6,1.8
현대오일뱅크,3.69,860.0,1.2,2.0,1.2,1.5,2.0,1.9
현대모비스,3.67,828.0,1.2,2.1,1.1,1.2,1.9,1.9
신세계,3.65,879.0,1.0,2.0,1.2,1.2,1.4,1.4
대한항공,3.64,819.0,1.2,1.9,1.2,1.1,1.6,1.6
현대건설,3.61,826.0,1.2,2.2,1.3,1.2,1.7,1.6
현대제철주식회사,3.68,833.0,1.2,2.2,1.3,1.4,1.8,1.9
SK하이닉스,3.71,825.0,1.2,2.0,1.2,1.1,1.4,1.6
대우건설,3.59,836.0,1.2,2.0,1.3,1.3,2.1,1.8
효성,3.65,855.0,1.2,1.8,1.2,1.2,1.9,1.4
포스코이앤씨,3.64,844.0,1.1,1.9,1.2,1.2,1.4,1.4
현대해상화재보험,3.54,772.0,1.2,2.1,1.1,1.2,2.8,2.1
두산에너빌리티,3.6,786.0,1.1,2.2,1.2,1.3,1.6,1.4
대림산업,3.65,831.0,1.1,2.2,1.2,1.3,1.9,1.5
NH투자증권,3.65,793.0,1.1725675147918617,4.3,1.0,1.1,7.0,4.7
에이치엠엠,3.77,857.0,1.1,2.0,1.4,1.2,1.3,1.4
DB손해보험,3.65,812.0,1.1,2.2,1.1,1.2,2.0,1.5
롯데케미칼,3.75,822.0,1.2,2.4,1.3,1.3,2.4,2.1
KB손해보험,3.64,816.0,1.1708529062319175,2.0,1.0,1.0,1.0,1.0
엘에스엠앤엠,3.73,879.0,1.1862843832714156,1.9,1.0,1.0,1.5,1.0
코리안리재보험,3.67,949.0,1.0,1.5,1.3,1.3,2.0,2.0
한국수력원자력,3.69,783.0,1.1,2.3,1.7,1.5,2.1,1.6
