기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
삼성전자㈜,3.72,833점,IH,IM3,1.2개,2.2개,1.3회,1.3회,2.2회,2회,"워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 2급, 정보처리기능사, 워드프로세서 2급"
㈜우리은행,3.64,838점,IH,IM3,1.1개,2.2개,1.2회,1.3회,1.7회,1.6회,"워드프로세서 2급, MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사"
신한은행,3.72,841점,IH,IH,1개,2.4개,1.1회,1.1회,1.9회,1.7회,"정보처리기사, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, 정보처리기능사, 워드프로세서 1급"
(주)한국스탠다드차타드은행,3.55,843점,IM2,IM2,1.1개,2개,1.2회,1.1회,2.4회,1.6회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 사무자동화산업기사, 정보기기운용기능사"
한국전력공사,3.65,851점,IH,IM3,1.2개,2.4개,1.4회,1.3회,1.8회,1.8회,"워드프로세서 1급, MOS, 컴퓨터활용능력 2급, 워드프로세서 2급, 한국사능력검정시험 1급"
현대자동차㈜,3.71,835점,IH,IM3,1.2개,2.1개,1.2회,1.2회,1.8회,1.7회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기사, 정보처리기능사, 컴퓨터활용능력 2급"
엘지전자㈜,3.67,829점,IM3,IM3,1.2개,2개,1.3회,1.2회,1.6회,1.5회,"정보처리기사, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급, 워드프로세서 2급"
㈜국민은행,3.68,847점,IH,IM3,1.1개,2.2개,1.2회,1.2회,2.7회,1.7회,"정보처리기사, 워드프로세서 2급, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사"
포스코홀딩스,3.74,849점,IH,IM3,1.3개,2.2개,1.3회,1.4회,1.6회,1.7회,"컴퓨터활용능력 2급, 워드프로세서 1급, 전기기능사, MOS, 설비보전기능사"
GS칼텍스(주),3.83,849점,IH,IH,1.3개,2개,1.3회,1회,1.9회,1.2회,"워드프로세서 2급, 컴퓨터활용능력 2급, 화공기사, 워드프로세서 1급, 한국사능력검정시험 1급"
삼성생명보험㈜,3.57,791점,IH,IM3,1.3개,2.2개,1.2회,1.4회,1.5회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 정보기기운용기능사"
㈜하나은행,3.6,838점,IH,IM3,1.1개,2.1개,1.2회,1.2회,2.3회,1.7회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급"
SK네트웍스(주),3.7,884점,IH,IH,1개,1.9개,1.2회,1.2회,1.3회,1.5회,"정보처리기능사, 정보기기운용기능사, 워드프로세서 2급, 사무자동화산업기사, 자동차정비기능사"
에이치디한국조선해양㈜,3.7,826점,IM3,IM2,1.1개,2개,1.3회,1.3회,1.6회,1.4회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보처리기능사, 사무자동화산업기사"
중소기업은행,3.66,826점,IH,IM3,1.2개,2.5개,1.2회,1.2회,2.6회,2회,"정보처리기사, 워드프로세서 1급, 사무자동화산업기사, 컴퓨터활용능력 2급, 한국사능력검정시험 1급"
엘지디스플레이,3.66,806점,IH,IM2,1.2개,2개,1.2회,1.1회,1.9회,1.6회,"워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급, 워드프로세서 2급, 컴퓨터활용능력 3급"
(주)한국씨티은행,3.53,806점,IM3,IM3,1.3개,1.9개,1.2회,1.6회,1.4회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 사무자동화산업기사"
한국가스공사,3.61,816점,IH,IM3,1.3개,2.5개,1.4회,1.2회,1.5회,1.6회,"워드프로세서 2급, 컴퓨터활용능력 2급, 사무자동화산업기사, 정보기기운용기능사, 전기기능사"
기아㈜,3.73,845점,IH,IM3,1.2개,2개,1.2회,1.2회,2.1회,2회,"한국사능력검정시험 1급, 정보처리기사, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급"
S-OIL,3.73,888점,IH,IH,1.2개,1.8개,1.1회,1회,1.4회,1.4회,"워드프로세서 1급, 컴퓨터활용능력 2급, 화공기사, 정보처리기능사, 정보기술자격(ITQ)인증시험"
㈜하나은행,3.74,839점,IH,IM3,1.1개,2.3개,1.3회,1.4회,1.7회,1.8회,"MOS, 워드프로세서 1급, 증권투자상담사, 컴퓨터활용능력 2급, 워드프로세서 2급"
㈜KT,3.65,843점,IH,IM3,1.1개,2개,1.4회,1.2회,1.4회,1.7회,"정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 유통관리사"
(주)LG화학,3.78,849점,IH,IM3,1.2개,2.1개,1.2회,1.3회,1.6회,1.8회,"화공기사, 한국사능력검정시험 1급, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보처리기능사"
삼성중공업(주),3.68,810점,IM3,IM3,1.3개,2개,1.2회,1.3회,1.8회,1.7회,"워드프로세서 1급, 정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 정보처리기능사"
교보생명,3.59,752점,IM3,IM3,1.2개,2.1개,1.2회,1.6회,1.8회,1.9회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 정보기기운용기능사, 컴퓨터활용능력 2급"
한화오션(주),3.75,810점,IH,IM3,1.2개,2개,1.3회,1.4회,2.1회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보처리기능사, 워드프로세서 2급"
SK텔레콤,3.66,835점,IH,IM3,1개,2개,1.2회,1.2회,1.5회,1.6회,"정보처리기사, 워드프로세서 2급, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급"
한화생명보험㈜,3.58,808점,IH,IM3,1.1개,2개,1.1회,1.4회,1.5회,1.8회,"워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 워드프로세서 1급, 정보처리기능사"
삼성화재해상보험,3.61,825점,IH,IM3,1.1개,2.1개,1.3회,1.3회,1.9회,1.6회,"워드프로세서 2급, 워드프로세서 1급, 정보기기운용기능사, MOS, 컴퓨터활용능력 2급"
롯데쇼핑(주),3.66,829점,IH,IM3,1.2개,2.2개,1.2회,1.4회,1.7회,1.7회,"워드프로세서 1급, MOS, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급"
㈜포스코인터내셔널,3.63,914점,AL,IH,1.3개,2.3개,1.4회,1.2회,1.9회,1.6회,"MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 무역영어, 워드프로세서 2급"
삼성물산(주),3.69,869점,AL,IH,1.4개,2.4개,1.3회,1.5회,1.6회,1.8회,"워드프로세서 1급, 건축기사, 건설안전기사, 컴퓨터활용능력 2급, 토목기사"
현대오일뱅크(주),3.69,860점,IH,IH,1.2개,2개,1.2회,1.5회,2회,1.9회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, MOS, 컴퓨터활용능력 1급"
현대모비스㈜,3.67,828점,IH,IM3,1.2개,2.1개,1.1회,1.2회,1.9회,1.9회,"워드프로세서 1급, 정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 정보처리기능사"
(주)신세계,3.65,879점,IH,IM3,1개,2개,1.2회,1.2회,1.4회,1.4회,"컴퓨터활용능력 3급, 워드프로세서 2급, 워드프로세서 1급, 정보처리기능사, 컴퓨터그래픽스운용기능사"
대한항공,3.64,819점,IH,IH,1.2개,1.9개,1.2회,1.1회,1.6회,1.6회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기사, MOS, 워드프로세서 2급"
현대건설(주),3.61,826점,IH,IM3,1.2개,2.2개,1.3회,1.2회,1.7회,1.6회,"건축기사, MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급"
현대제철주식회사,3.68,833점,IH,IM3,1.2개,2.2개,1.3회,1.4회,1.8회,1.9회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 워드프로세서 2급, 컴퓨터활용능력 3급"
SK하이닉스(주),3.71,825점,IH,IM3,1.2개,2개,1.2회,1.1회,1.4회,1.6회,"컴퓨터활용능력 3급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급, 워드프로세서 1급"
㈜대우건설,3.59,836점,IH,IM2,1.2개,2개,1.3회,1.3회,2.1회,1.8회,"건축기사, 토목기사, MOS, 워드프로세서 2급, 전기공사기사"
㈜효성,3.65,855점,IH,IM3,1.2개,1.8개,1.2회,1.2회,1.9회,1.4회,"워드프로세서 1급, 정보처리기사, MOS, 정보처리기능사, 일반기계기사"
(주)포스코이앤씨,3.64,844점,IM3,IM3,1.1개,1.9개,1.2회,1.2회,1.4회,1.4회,"워드프로세서 1급, 건축기사, 워드프로세서 2급, MOS, 컴퓨터활용능력 2급"
현대해상화재보험㈜,3.54,772점,IM3,IM1,1.2개,2.1개,1.1회,1.2회,2.8회,2.1회,"워드프로세서 2급, 워드프로세서 1급, MOS, 정보처리기능사, 컴퓨터활용능력 2급"
두산에너빌리티(주),3.6,786점,IM3,IM2,1.1개,2.2개,1.2회,1.3회,1.6회,1.4회,"컴퓨터활용능력 2급, 워드프로세서 1급, MOS, 워드프로세서 2급, 사무자동화산업기사"
대림산업㈜,3.65,831점,IH,IM3,1.1개,2.2개,1.2회,1.3회,1.9회,1.5회,"토목기사, 건축기사, 정보기기운용기능사, 워드프로세서 1급, 전기공사기사"
NH투자증권(주),3.65,793점,IH,IM3,-,4.3개,1회,1.1회,7회,4.7회,"매경 TEST 우수(600점~800점미만), 워드프로세서 1급, 정보기술자격(ITQ)인증시험, 정보처리기사, 코딩지도사 1급"
에이치엠엠,3.77,857점,IH,IH,1.1개,2개,1.4회,1.2회,1.3회,1.4회,"워드프로세서 2급, 컴퓨터활용능력 2급, 워드프로세서 1급, 무역영어, MOS"
DB손해보험㈜,3.65,812점,IH,IM3,1.1개,2.2개,1.1회,1.2회,2회,1.5회,"워드프로세서 2급, 워드프로세서 1급, 정보처리기능사, 정보기기운용기능사, 컴퓨터활용능력 2급"
롯데케미칼(주),3.75,822점,IM3,IM3,1.2개,2.4개,1.3회,1.3회,2.4회,2.1회,"화공기사, 워드프로세서 1급, 가스기능사, 정보기술자격(ITQ)인증시험, 정보처리기능사"
