회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/자바웹개발자 교육생모집,신입·경력,학력무관,서울 영등포구 외,"데이터분석, 데이터분석, 네트워크관리, GUI, 빅데이터",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43224451?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1
한국폴리텍대학 광명융합기술교육원,"제품설계, 전기자격, AR/VR(유니티, 언리얼)개발, 바이오 의약, 데이터분석 [대학졸업(예정)자 취업연계 전액국비 교육생모집]",경력무관,초대졸↑,경기,"직업전문학교, 경영기획, 문서작성, 통계·분석, 자료조사",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/42968038?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2
더치트주식회사,"데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / Data Analyst (통계전공자, 석사 이상)",경력3년↑,학력무관,서울 마포구,"데이터분석, 딥러닝, 인공지능, 모델링, 인터넷금융",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43409289?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3
비알코리아㈜,Digital Transformaiton 부문 경력사원 모집 (데이터 분석가),경력,대졸↑,서울 서초구,"데이터분석, 딥러닝, 앱기획, SI개발, 아키텍처",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43396643?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4
엘앤티토요타㈜,[엘앤티토요타] 데이터 분석(기획) 경력직 채용,경력4년↑,학력무관,서울 강남구,"데이터분석, 데이터분석, 서비스기획",~01/21(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43391945?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5
㈜아프리카TV,[아프리카TV] 데이터 분석 및 지표 설계,경력3년↑,석사↑,경기 성남시,"데이터분석, 데이터분석, 빅데이터, 데이터관리, 통계",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43377134?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6
엘지전자㈜,[CTO부문] 에너지 데이터 분석 및 최적화 알고리즘 개발 모집,신입·경력,학력무관,서울 서초구,"데이터분석, 빅데이터, 인공지능",~12/04(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43376475?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7
㈜넥슨,[인텔리전스랩스] 데이터 분석가 (개인화 콘텐츠),경력2년↑,대졸↑,경기 성남시,"데이터분석, 데이터파이프라인",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43366334?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8
(주)LG생활건강,상시인재 채용(신입) - 데이터분석,신입,대졸↑,서울 강서구,"데이터분석, 인테리어디자인, 품질보증, 생산관리, 검증",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43337546?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9
엘지전자㈜,[HE사업본부] Platform Business 전문가 모집 (카인포테인먼트 데이터 분석가),경력,학력무관,서울 영등포구,"데이터분석, 서비스기획",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43333097?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10
엘지전자㈜,"[HE사업본부] Platform Business 전문가 모집 (카인포테인먼트 서비스PM, 데이터 분석가)",경력,학력무관,서울 영등포구,"데이터분석, 서비스기획",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43333028?Oem_Code=C1&logpath=1&stext=데이터분석&listno=11
카카오뱅크,데이터 분석 담당자,경력,초대졸↑,서울 영등포구,"데이터분석, 텍스트 분석, 딥러닝, 예측 모형의 기획, 예측 모형의 개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43244301?Oem_Code=C1&logpath=1&stext=데이터분석&listno=12
㈜스마일게이트홀딩스,[스마일게이트홀딩스] [재무] 게임 데이터분석 담당,경력무관,학력무관,경기 성남시,"데이터분석, 데이터분석",~12/01(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43223690?Oem_Code=C1&logpath=1&stext=데이터분석&listno=13
아이아이컴바인드,[탬버린즈] Demand planner 글로벌 매출전략 데이터분석 경력직,경력4년↑,학력무관,서울 마포구,"데이터분석, 뷰티MD, 패션, 전략기획, 매출관리",~12/30(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43215242?Oem_Code=C1&logpath=1&stext=데이터분석&listno=14
㈜차이커뮤니케이션,GTM Tagging / GA 데이터 분석,경력2년↑,학력무관,서울 강남구,"데이터분석, 데이터분석, 빅데이터, 데이터시각화, 온라인광고",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43211066?Oem_Code=C1&logpath=1&stext=데이터분석&listno=15
㈜더블다운인터액티브,데이터 분석 담당자 모집 (경력),경력3년↑,학력무관,서울 강남구,"데이터분석, 빅데이터, 모바일앱게임, 데이터레이크, 딥러닝",~12/25(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43178363?Oem_Code=C1&logpath=1&stext=데이터분석&listno=16
㈜인라이플,[주4.5일근무] 광고 데이터 분석 및 기획자 채용,경력,학력무관,서울 구로구 외,"데이터분석, 모바일앱개발, BigData, 빅데이터, 데이터레이크",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43054721?Oem_Code=C1&logpath=1&stext=데이터분석&listno=17
㈜컴투스,[컴투스홀딩스] 데이터분석팀 팀리더 (경력),경력,대졸↑,서울 금천구,"데이터분석, SQL, ETL, 게임기획, 시스템설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43002522?Oem_Code=C1&logpath=1&stext=데이터분석&listno=18
씨에이치솔루션㈜,[SK텔레콤/분당사옥]통계 및 데이터 분석(OA),경력무관,학력무관,경기 성남시 외,"별정통신, 유지보수, 텔레콤, 통계·분석, 정보통신",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43420569?Oem_Code=C1&logpath=1&stext=데이터분석&listno=19
씨에이치솔루션㈜,[SK텔레콤/분당]통계 및 데이터 분석,경력무관,학력무관,경기 성남시 외,"별정통신, 유지보수, 텔레콤, 통계·분석, 정보통신",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43420393?Oem_Code=C1&logpath=1&stext=데이터분석&listno=20
비알코리아㈜,Digital Transformaiton 부문 경력사원 모집 (데이터 엔지니어),경력,대졸↑,서울 서초구,"데이터분석, 딥러닝, 앱기획, SI개발, 아키텍처",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43396621?Oem_Code=C1&logpath=1&stext=데이터분석&listno=421
비알코리아㈜,Digital Transformaiton 부문 경력사원 모집 (모바일 플랫폼 개발 담당),경력,대졸↑,서울 서초구,"데이터분석, 딥러닝, 앱기획, SI개발, 아키텍처",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43396604?Oem_Code=C1&logpath=1&stext=데이터분석&listno=422
비알코리아㈜,Digital Transformaiton 부문 경력사원 모집 (모바일 서비스 기획 담당),경력,대졸↑,서울 서초구,"데이터분석, 딥러닝, 앱기획, SI개발, 아키텍처",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43396581?Oem_Code=C1&logpath=1&stext=데이터분석&listno=423
비알코리아㈜,Digital Transformaiton 부문 경력사원 모집,경력,학력무관,서울 서초구,"데이터분석, 딥러닝, 앱기획, SI개발, 아키텍처",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43396556?Oem_Code=C1&logpath=1&stext=데이터분석&listno=424
㈜이덕아이앤씨,[알레르망] 해외사업부 경력자 모집,경력,대졸↑,서울,"데이터분석, 데이터분석, 데이터분석, 브랜드기획, 원단",~12/24(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43395604?Oem_Code=C1&logpath=1&stext=데이터분석&listno=425
힐티코리아㈜,[외국계/힐티코리아] Business Intelligence Manager(Salesforce/CRM),경력7년↑,대졸↑,서울 송파구,"데이터분석, 시장조사, 건설, 전략기획, 시장분석",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43395451?Oem_Code=C1&logpath=1&stext=데이터분석&listno=426
㈜세스코,(주)세스코 경영관리 및 지표체계 관리 경력직 모집,신입,대졸↑,서울 강동구,"데이터분석, 사업기획, 경영기획, 전략기획, 경영컨설팅",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43395190?Oem_Code=C1&logpath=1&stext=데이터분석&listno=427
㈜오투스페이스,감탄떡볶이/가마솥순대국밥 가맹계약(점포개발)팀 경력사원 채용,경력3년↑,대졸↑,서울 광진구,"데이터분석, 케이터링, 한식당, 거래처관리, 패스트푸드",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43394954?Oem_Code=C1&logpath=1&stext=데이터분석&listno=428
한국허벌라이프㈜,외국계 건강기능식품회사 대리급 정규직 채용: Sales Strategy and Analysis,경력2년↑,대졸↑,서울 강남구,"데이터분석, 데이터분석, 영업전략",~01/21(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43393968?Oem_Code=C1&logpath=1&stext=데이터분석&listno=429
㈜제우인터내셔날,[디자이너브랜드 - 르메메] 마케팅팀 담당자 채용,경력3년↑,대졸↑,서울 서초구 외,"데이터분석, 패션, 키워드광고, 프로모션, 바이럴마케팅",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43393843?Oem_Code=C1&logpath=1&stext=데이터분석&listno=430
한영회계법인,금융컨설팅부문 Finance팀 (성과/비용관리 등) 컨설턴트 경력직,경력1년↑,대졸↑,서울 영등포구,"데이터분석, 회계법인, 금융컨설팅",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43393641?Oem_Code=C1&logpath=1&stext=데이터분석&listno=431
케어캠프㈜,[케어캠프(주)] 영업기획 및 마케팅 경력직원 모집,경력3년↑,학력무관,서울 서대문구,"데이터분석, 데이터분석, 시장조사, 영업기획, 영업전략",~12/04(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43393421?Oem_Code=C1&logpath=1&stext=데이터분석&listno=432
LG에너지솔루션,2023년 11월 경력사원 모집 (품질시스템/프로세스),경력,초대졸↑,충북 청주시,"데이터분석, 품질전략/목표설정/관리",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43392795?Oem_Code=C1&logpath=1&stext=데이터분석&listno=433
아이투맥스,[Salesforce/업계 1위] Business Analyst (경력 3년 이상) 채용,경력3년↑,학력무관,경기 용인시,"데이터분석, 모바일앱개발, SM, 시장조사, 제안·컨설팅",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43392758?Oem_Code=C1&logpath=1&stext=데이터분석&listno=434
메가스터디교육㈜,서비스 기획 (엘리하이&엠베스트),경력5년↑,학력무관,서울 서초구,"데이터분석, 입시학원, 앱기획, UI·UX기획, 콘텐츠기획",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43391292?Oem_Code=C1&logpath=1&stext=데이터분석&listno=435
메가스터디교육㈜,서비스기획자(Web/APP) (고등 온라인),경력4년↑,학력무관,서울 서초구,"데이터분석, 입시학원, 앱기획, UI·UX기획, 콘텐츠기획",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43391247?Oem_Code=C1&logpath=1&stext=데이터분석&listno=436
㈜비타소프트,"[서울역] UI/UX 기획, 웹기획자 채용",경력3년↑,학력무관,서울 구로구 외,"데이터분석, 모바일앱개발, SI, 앱기획, UI·UX기획",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43384627?Oem_Code=C1&logpath=1&stext=데이터분석&listno=437
사회복지법인 밀알복지재단,[사회복지법인 밀알복지재단] 해외사업부 해외파견직원 채용공고,경력무관,학력무관,아프리카 케냐,"데이터분석, NGO",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43391749?Oem_Code=C1&logpath=1&stext=데이터분석&listno=438
㈜한솥,"㈜한솥 하반기 운영개발본부 경력직 수시 채용(SV, 점포개발,매니저)",경력1년↑,학력무관,서울 강남구,"데이터분석, 중식당, 한식당, 시설점검, 거래처관리",~12/07(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43390485?Oem_Code=C1&logpath=1&stext=데이터분석&listno=439
㈜판도라티비,블록체인 전략 기획 담당,경력2년↑,학력무관,경기 성남시,"데이터분석, 신사업기획, 사업기획, 전략기획",~12/28(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43388681?Oem_Code=C1&logpath=1&stext=데이터분석&listno=440
(주)미래아이엔씨,SNS 콘텐츠 기획자 / 경력직,경력3년↑,초대졸↑,서울 금천구,"기업홍보, 홍보대행, 온라인광고, 광고기획, 시장분석",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43439511?Oem_Code=C1&logpath=1&stext=데이터분석&listno=841
㈜예지솔루션,[가산역 예지솔루션] 네이버 담당 디지털 마케터 AE 팀원,신입·경력,초대졸↑,서울 금천구 외,"디지털 마케팅, 홍보대행, 키워드 검색광고, 키워드광고, 프로모션대행",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43439258?Oem_Code=C1&logpath=1&stext=데이터분석&listno=842
㈜삼기,주식회사 삼기 관리직군 신입/경력사원 모집(경영정보팀),신입·경력,대졸↑,충남 서산시,"SI개발, 시스템운영, 시스템분석, 자동차부품, 시스템설계",~01/28(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43439206?Oem_Code=C1&logpath=1&stext=데이터분석&listno=843
㈜난다,[Stylenanda/3CE] E-Commerce Operation Specialist - L`Oreal Korea Coporate Operation team,경력1년↑,대졸↑,서울 마포구,"시스템운영, 쇼핑몰, 오픈마켓",~01/28(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43438720?Oem_Code=C1&logpath=1&stext=데이터분석&listno=844
㈜탐앤탐스,탐앤탐스(본사 가맹사업본부) 가맹점 슈퍼바이저 정규직 채용,경력2년↑,초대졸↑,서울 광진구 외,"거래처관리, 가맹점관리, 대리점관리, 프랜차이즈, 커피숍",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43438878?Oem_Code=C1&logpath=1&stext=데이터분석&listno=845
㈜JYP엔터테인먼트,[JYP엔터테인먼트] 경영지원 (공간기획) 채용,경력10년↑,학력무관,서울 강동구,"엔터테인먼트사, 연예기획, 매니지먼트, 연예",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43438727?Oem_Code=C1&logpath=1&stext=데이터분석&listno=846
트랜스코스모스코리아,[장한평역] 캡스 고객센터 데이터관리자(DA) 채용 UZo3,경력무관,학력무관,서울 동대문구 외,"전산입력, 문서관리, 콜통계분석, 사이트관리, CS교육",~12/01(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43438701?Oem_Code=C1&logpath=1&stext=데이터분석&listno=847
㈜에이치엔씨네트워크,[을지로/파견/높은급여]BC카드 데이터 사업팀 팀원 채용,경력무관,초대졸↑,서울 중구,"빅데이터, 캐피탈",~12/04(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43438159?Oem_Code=C1&logpath=1&stext=데이터분석&listno=848
㈜엘비유세스,[가산동/통계사무 DA]  이랜드몰 고객센터 데이터관리자 DA 채용,경력,학력무관,서울 금천구 외,"콜센터, 콜통계분석, 전화상담, 고객지원, 고객문의분석",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43437010?Oem_Code=C1&logpath=1&stext=데이터분석&listno=849
㈜티사이언티픽,[티사이언티픽] 미들웨어 운영자(경력) 채용,경력2년↑,대졸↑,경기 안양시,"솔루션, SI, 네트워크관리, 소프트웨어개발",~12/28(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43436248?Oem_Code=C1&logpath=1&stext=데이터분석&listno=850
㈜메타엠,[메타엠] 채용담당자 채용(휴직대체),경력무관,고졸↑,서울 강남구 외,"채용대행, 스카우트, 인재발굴, 회원관리, 직업훈련",~12/28(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43436106?Oem_Code=C1&logpath=1&stext=데이터분석&listno=851
㈜티사이언티픽,[티사이언티픽] 보안 관제 운영 신입/경력 채용,경력무관,초대졸↑,서울 서초구,"솔루션, SI, 방화벽, 보안관제, 네트워크관리",~12/28(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43435507?Oem_Code=C1&logpath=1&stext=데이터분석&listno=852
㈜버킷플레이스,[오늘의집] Recruiting Manager (1년 계약직 / 산휴대체) 채용,경력3년↑,학력무관,서울 서초구,"스카우트, 인재발굴, 전자상거래, 인재관리, 면접·채용",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43435176?Oem_Code=C1&logpath=1&stext=데이터분석&listno=853
㈜크래프톤,[OVERDARE] Web Product Manager (3년 이상),경력,대졸↑,서울 서초구,"Product Manager, MMORPG",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43435170?Oem_Code=C1&logpath=1&stext=데이터분석&listno=854
㈜티몬,[티몬] 스포츠패션 MD,경력3년↑,학력무관,서울 강남구,"전자상거래, 리테일MD, 상품기획, 쇼핑몰, 오픈마켓",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43434478?Oem_Code=C1&logpath=1&stext=데이터분석&listno=855
테슬라코리아(유),[Tesla] 전국 서비스 센터 부문별 채용,신입·경력1년↑,학력무관,서울 강남구 외,"A·S수리, 자동차서비스, 차량정비, 차량수리, 차량 A/S",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43434366?Oem_Code=C1&logpath=1&stext=데이터분석&listno=856
네이버제트㈜,[NAVER Z] Sticker.ly 인도네시아 콘텐츠 운영 체험형 인턴 모집,신입,학력무관,경기 성남시,"캐릭터, 3D디자인, 아바타",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43434255?Oem_Code=C1&logpath=1&stext=데이터분석&listno=857
익수제약㈜,익수제약(주) 마케팅부 신입 및 경력사원 채용공고(PM부문),신입·경력,학력무관,서울 강동구,"시장조사, PM, 상품기획, 전략기획, 시장분석",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43433861?Oem_Code=C1&logpath=1&stext=데이터분석&listno=858
보보스링크㈜,[프론트엔드/Java Script] 외국계IT기업 AI 음성프로그램 개발자 채용,경력무관,학력무관,서울 마포구 외,"GUI, 솔루션, 시스템분석, SI개발, 클라이언트",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43433791?Oem_Code=C1&logpath=1&stext=데이터분석&listno=859
㈜엔씨소프트,[엔씨소프트][LLL] 서버 프로그래머 모집,경력3년↑,학력무관,경기 성남시,"게임소프트웨어, 콘솔게임, 아케이드게임, RPG, 게임디자인",~01/23(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43433655?Oem_Code=C1&logpath=1&stext=데이터분석&listno=860
㈜제놀루션,(주)제놀루션 [품질관리 및 보증] 경력직 채용,경력1년↑,대졸↑,서울 강서구,"품질보증, 바이오, 검증, QA, 제약",~01/19(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43372724?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1261
아프리카티비,[아프리카TV] Global 서비스 모바일 앱 개발 (Android),경력3년↑,학력무관,경기 성남시,"kolitn, 인터넷방송, Coroutine, 시스템분석, Android",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43372649?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1262
아프리카티비,[아프리카TV] 인프라 성능 측정 체계 구축 및 지표 관리,경력3년↑,학력무관,서울 서초구 외,"인터넷방송, 네트워크관리, 시스템운영, Windows, 부하테스트",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43372618?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1263
아프리카티비,[아프리카TV] LIVE 방송 시스템 개발,경력3년↑,학력무관,경기 성남시,"C++, 서버, HLS, 인터넷방송, 서버구축",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43372561?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1264
아프리카티비,[아프리카TV] 미디어 서버 개발,경력3년↑,학력무관,경기 성남시,"C++, 서버, HLS, 인터넷방송, 서버구축",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43372551?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1265
아프리카티비,"[아프리카TV] Global 서비스 Back-end 개발 (Node.js, Nest.js, PHP)",경력3년↑,학력무관,경기 성남시,"인터넷방송, JavaScript, Typescript, NestJs, 시스템분석",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43372528?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1266
