회사명,직무,상황,지역,작성일,총점,승진 기회 및 가능성,복지 및 급여,업무와 삶의 균형,사내문화,경영진,총평,장점,단점,바라는점
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
티엔오디앤씨(주),생산/제조,"
          현직원
      ",울산,2023. 08,60%,60%,60%,80%,60%,40%,"
BEST
      ""회사의 적자를 근로자들에게 탓함능력만 있다면 이직이 좋음""
    ",연차를 눈치 안보고 쓸수 있음. 부서마다 다르지만 대부분이 그럼. 장들은 제외.,"역피라미드 구조 신입 대리가 거의 없음파트별 담당자가 한두명 밖에 없어 거의 모든 일을 해야함",근로자들이 일하는 만큼 대접을 받았으면 좋겠음.
티엔오디앤씨(주),생산관리/품질관리,"
          전직원
      ",울산,2023. 06,20%,20%,20%,60%,60%,20%,"
BEST
      ""곧 망할거 같음 대우가 한화로 바뀌고 과연 정책이 어찌바뀔지...""
    ",연차 마음대로 가능. 밥 줌. 당시에는 통근버스도있었음,미래가불투명. 대우 밑에 있을때는 물량이라도 받았는데 지금은 어떤지모르겠음,남은 직원들한테라도 잘해주시길...800명이 150명으로 바꼈는데   남우사람들이라도 잘해주세요...
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 05,60%,80%,100%,80%,80%,100%,"
BEST
      ""온산에 있는 좋았던회사 다시살아났으면 좋겠습니다.화이팅""
    ",연차를 윗사람 눈치안보고 마음껏 쓸수 있습니다. 밥도 맛있음,연봉이 많은 편이 아님 주간이라 그런가 연봉이 고만고만함,예전 신한으로 돌아가길 잘나가는 신한으로 만들어주세요 화이팅
티엔오디앤씨(주),기획/경영,"
          전직원
      ",울산,2023. 01,40%,40%,20%,60%,40%,20%,"
BEST
      ""힘들게 일한 직원들의 노고가 전혀 반영되지 않은 인사평가가 젊은 사원/대리를 힘들게 한다.""
    ",Living Quater 및 Deck House는 확실하게 이 회사 만큼 잘 만드는 곳은 없음,지금은 회사 주인이 바뀌어 다르지만 이전에는 지주사 임원이 경영시험 치르러 오는 곳 혹은 퇴직 전 퇴직금 면목으로 오는 곳으로 회사 발전을 위한 투자에 중점이 아닌 다른 곳에 집중되어 있음,"담당자의 고유 권한을 상사가 침해하는 경우가 허다한 점이 많았습니다. 담당자도 사람이고, 본인의 책임감으로 일을 행해야 하지만, 업체와 상사와의 관계로 모든 업무가 처리되다 보니 업체 관리에 대한 의욕이 생기지 않기에 개선이 필요합니다."
티엔오디앤씨(주),생산/제조,"
          전직원
      ",울산,2023. 01,60%,60%,60%,60%,60%,20%,"
BEST
      ""회사자체는 좋으나 미래가 불투명하다 몇년이나 갈지모르겠다""
    ",연차수당다나오고 눈치없이 쓴다 선후배관계 확실하지만 대체로 원만하게 잘지낸다,대우조선에서 떨어지면서 물량확보에 어려움이 있고 조선업의 불투명한미래가 아쉽다,회사가 생존할려면 평균연령이 낮은 젊은회사가 되어야합니다 일잘하고 젊은 사람이 다 나갔는데 미래가 있겠습니까?
