,회사명,총점,"직무, 지역"
0,CJ씨푸드,60.0,"기획/경영, 경기"
1,CJ씨푸드,70.0,"생산/제조, 경기"
2,CJ씨푸드,40.0,"생산/제조, 충북"
3,JW중외제약,40.0,"생산관리/품질관리, 경기"
4,JW중외제약,40.0,"연구개발, 경기"
5,JW중외제약,100.0,"연구개발, 충남"
6,JW중외제약,20.0,"영업/제휴, 대구"
7,JW중외제약,60.0,"영업/제휴, 서울"
8,LG전자,100.0,"개발, 서울"
9,LG전자,60.0,"생산/제조, 경남"
10,LG전자,40.0,"연구개발, 경기"
11,LG전자,80.0,"영업/제휴, 서울"
12,SDL,40.0,"개발, 서울"
13,SDL,20.0,"기획/경영, 서울"
14,SDL,60.0,"생산관리/품질관리, 서울"
15,SDL,40.0,"서비스/고객지원, 서울"
16,SDL,100.0,"전문직, 서울"
17,SEAFIRST,60.0,"생산/제조, 경남"
18,SEAFIRST,20.0,"연구개발, 경남"
19,SEAFIRST,40.0,"영업/제휴, 경남"
20,SK네트웍스,60.0,"기획/경영, 서울"
21,SK네트웍스,60.0,"마케팅/시장조사, 서울"
22,SK네트웍스,60.0,"미디어/홍보, 서울"
23,SK네트웍스,80.0,"영업/제휴, 서울"
24,SK네트웍스,60.0,"전문직, 인천"
25,가레트모션코리아,60.0,"개발, 서울"
26,가레트모션코리아,60.0,"금융/재무, 서울"
27,가레트모션코리아,80.0,"생산/제조, 경기"
28,가레트모션코리아,20.0,"유통/무역, 경기"
29,가톨릭대학교,52.0,"의약, 대전"
30,강릉동인병원,60.0,"서비스/고객지원, 강원"
31,강릉동인병원,50.0,"의약, 강원"
32,공항철도,80.0,"생산관리/품질관리, 인천"
33,공항철도,40.0,"서비스/고객지원, 인천"
34,공항철도,80.0,"엔지니어링, 인천"
35,구,80.0,"금융/재무, 서울"
36,구,60.0,"기타, 서울"
37,구,60.0,"기획/경영, 2014. 05"
38,구,60.0,"기획/경영, 서울"
39,그린생명과학,60.0,"금융/재무, 전남"
